Area,Construction,Room,Warehouse,Parking,Elevator,Address,Price
160,1401,3,True,True,True,۱ ساعت پیش در تهران، نارمک,۱۹٬۸۴۰٬۰۰۰٬۰۰۰ تومان
97,1386,2,True,True,True,۱ ساعت پیش در تهران، نارمک,۸٬۳۰۰٬۰۰۰٬۰۰۰ تومان
133,1401,3,True,True,True,۱ ساعت پیش در تهران، نارمک,۱۶٬۰۹۳٬۰۰۰٬۰۰۰ تومان
140,1401,3,True,True,True,۱ ساعت پیش در تهران، نارمک,۱۶٬۵۲۰٬۰۰۰٬۰۰۰ تومان
135,1394,3,True,True,True,۱ ساعت پیش در تهران، نارمک,۱۲٬۸۲۵٬۰۰۰٬۰۰۰ تومان
145,1401,3,True,True,True,۱ ساعت پیش در تهران، نارمک,۱۶٬۲۴۰٬۰۰۰٬۰۰۰ تومان
121,1401,2,True,True,True,۱ ساعت پیش در تهران، نارمک,۱۵٬۲۰۰٬۰۰۰٬۰۰۰ تومان
115,1401,2,True,True,True,۱ ساعت پیش در تهران، جمهوری,۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان
90,1401,2,True,True,True,۱ ساعت پیش در تهران، کاظم‌آباد,۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان
105,1400,2,True,True,True,۱ ساعت پیش در تهران، کوی فردوس,۱۰٬۷۵۰٬۰۰۰٬۰۰۰ تومان
186,1400,3,True,True,True,۱ ساعت پیش در تهران، شهرک ولیعصر,۱۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان
60,1388,1,True,True,True,۱ ساعت پیش در تهران، پونک,۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان
120,1386,3,True,True,True,۱ ساعت پیش در تهران، دریا,۱۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان
78,1401,2,True,True,True,۱ ساعت پیش در تهران، کوی فردوس,۸٬۹۸۰٬۰۰۰٬۰۰۰ تومان
120,1401,2,True,True,True,۱ ساعت پیش در تهران، چیتگر,۸۰۰٬۰۰۰٬۰۰۰ تومان
80,1383,2,True,True,True,۱ ساعت پیش در تهران، شهران جنوبی,۴٬۸۵۰٬۰۰۰٬۰۰۰ تومان
110,1386,2,True,True,True,۱ ساعت پیش در تهران، سعادت‌آباد,۱۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان
125,1396,3,True,True,True,۱ ساعت پیش در تهران، ونک,۱۴٬۸۰۰٬۰۰۰٬۰۰۰ تومان
103,1387,3,True,True,True,۱ ساعت پیش در تهران، سعادت‌آباد,۱۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان
150,1401,3,True,True,True,۱ ساعت پیش در تهران، هروی,۱۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان
135,1398,3,True,True,True,۱ ساعت پیش در تهران، قیطریه,۲۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان
115,1385,3,True,True,True,۱ ساعت پیش در تهران، میرداماد,۱۰٬۵۰۰٬۰۰۰٬۰۰۰ تومان
240,1400,4,True,True,True,۱ ساعت پیش در تهران، حصار بوعلی,۴۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان
141,1389,3,False,True,True,۱ ساعت پیش در تهران، پونک,۱۷٬۳۰۰٬۰۰۰٬۰۰۰ تومان
80,1385,2,False,False,True,۱ ساعت پیش در تهران، شهرک پرواز، خیابان پروانه شمالی (بلوار ناصر حجازی),۵٬۶۰۰٬۰۰۰٬۰۰۰ تومان
94,1381,2,True,True,True,۱ ساعت پیش در تهران، بهار,۶٬۸۰۰٬۰۰۰٬۰۰۰ تومان
130,1395,3,True,True,True,۱ ساعت پیش در تهران، جنت‌آباد جنوبی,۱۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان
69,1390,2,True,True,True,۱ ساعت پیش در تهران، باغ فیض,۶٬۸۰۰٬۰۰۰٬۰۰۰ تومان
148,1396,3,True,True,True,۱ ساعت پیش در تهران، جنت‌آباد مرکزی، خیابان شاهین شمالی (خیابان رجب صلاحی),۱۲٬۷۰۰٬۰۰۰٬۰۰۰ تومان
500,1401,4,True,True,True,۱ ساعت پیش در تهران، ونک، خیابان ملاصدرا (خیابان شیخ بهائی),۸۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان
160,1389,3,True,True,True,۱ ساعت پیش در تهران، دروس,۲۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان
80,1371,2,False,True,True,۱ ساعت پیش در تهران، گیشا (کوی نصر),۶٬۵۰۰٬۰۰۰٬۰۰۰ تومان
80,1381,2,False,True,True,۱ ساعت پیش در تهران، المهدی,۵٬۲۰۰٬۰۰۰٬۰۰۰ تومان
78,1381,2,False,True,True,۱ ساعت پیش در تهران، پونک,۵٬۲۰۰٬۰۰۰٬۰۰۰ تومان
60,1385,1,False,True,True,۱ ساعت پیش در تهران، جنت‌آباد جنوبی,۵٬۵۰۰٬۰۰۰٬۰۰۰ تومان
145,1397,3,True,True,True,۱ ساعت پیش در تهران، اباذر,۱۶٬۲۰۰٬۰۰۰٬۰۰۰ تومان
130,1386,3,True,True,True,۱ ساعت پیش در تهران، سعادت‌آباد، خیابان طاهرخانی (بلوار فرحزادی),۱۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان
228,1397,3,True,True,True,۱ ساعت پیش در تهران، زعفرانیه,۶۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان
1500,1401,4,True,True,True,۱ ساعت پیش در تهران، سعادت‌آباد,۳۸۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان
72,1383,2,False,False,False,۱ ساعت پیش در تهران، شکوفه,۳٬۱۵۰٬۰۰۰٬۰۰۰ تومان
105,1387,2,True,True,True,۱ ساعت پیش در تهران، تهرانپارس غربی,۸٬۵۰۰٬۰۰۰٬۰۰۰ تومان
106,1401,2,True,True,True,۱ ساعت پیش در تهران، شمس‌آباد,۹٬۵۴۰٬۰۰۰٬۰۰۰ تومان
250,1400,3,True,True,True,۱ ساعت پیش در تهران، دارآباد,۳۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان
130,1386,2,True,True,True,۱ ساعت پیش در تهران، سعادت‌آباد,۱۶٬۹۰۰٬۰۰۰٬۰۰۰ تومان
155,1397,3,True,True,True,۱ ساعت پیش در تهران، کوی فراز,۲۴٬۹۰۰٬۰۰۰٬۰۰۰ تومان
130,1401,2,True,True,True,۱ ساعت پیش در تهران، شهرک نفت (منطقه ۵),۱۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان
120,1389,2,True,True,True,۱ ساعت پیش در تهران، دریا,۱۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان
194,1390,3,True,True,True,۱ ساعت پیش در تهران، سعادت‌آباد,۳۰٬۰۷۰٬۰۰۰٬۰۰۰ تومان
350,1401,4,True,True,True,۱ ساعت پیش در تهران، زعفرانیه,۹۹٬۶۰۰٬۰۰۰٬۰۰۰ تومان
67,1390,2,False,True,True,۱ ساعت پیش در تهران، اندیشه (شهر زیبا),۱٬۷۳۰٬۰۰۰٬۰۰۰ تومان
106,1401,2,True,True,True,۱ ساعت پیش در تهران، چیتگر,۱٬۲۷۲٬۰۰۰٬۰۰۰ تومان
98,1396,2,True,True,True,۱ ساعت پیش در تهران، هروی,۱۰٬۵۰۰٬۰۰۰٬۰۰۰ تومان
131,1401,3,True,True,True,۱ ساعت پیش در تهران، سرو آزاد,۷٬۲۵۰٬۰۰۰٬۰۰۰ تومان
